,Family,LigandType,Value,Category
148,Class A orphans,orphan,24.0,Similarity
149,Class A orphans,orphan,13.0,Identify
150,Class A orphans,orphan,24.0,Similarity
151,Class A orphans,orphan,13.0,Identify
152,Class A orphans,orphan,23.0,Similarity
153,Class A orphans,orphan,13.0,Identify
154,Class A orphans,orphan,23.0,Similarity
155,Class A orphans,orphan,11.0,Identify
156,Class A orphans,orphan,22.0,Similarity
157,Class A orphans,orphan,10.0,Identify
158,Class A orphans,orphan,20.0,Similarity
159,Class A orphans,orphan,10.0,Identify
160,Class A orphans,orphan,43.0,Similarity
161,Class A orphans,orphan,22.0,Identify
162,Class A orphans,orphan,42.0,Similarity
163,Class A orphans,orphan,20.0,Identify
164,Class A orphans,orphan,41.0,Similarity
165,Class A orphans,orphan,24.0,Identify
166,Class A orphans,orphan,41.0,Similarity
167,Class A orphans,orphan,19.0,Identify
168,Class A orphans,orphan,39.0,Similarity
169,Class A orphans,orphan,22.0,Identify
170,Class A orphans,orphan,39.0,Similarity
171,Class A orphans,orphan,17.0,Identify
172,Class A orphans,orphan,38.0,Similarity
173,Class A orphans,orphan,23.0,Identify
174,Class A orphans,orphan,38.0,Similarity
175,Class A orphans,orphan,22.0,Identify
176,Class A orphans,orphan,38.0,Similarity
177,Class A orphans,orphan,22.0,Identify
178,Class A orphans,orphan,37.0,Similarity
179,Class A orphans,orphan,23.0,Identify
180,Class A orphans,orphan,37.0,Similarity
181,Class A orphans,orphan,23.0,Identify
182,Class A orphans,orphan,37.0,Similarity
183,Class A orphans,orphan,20.0,Identify
184,Class A orphans,orphan,37.0,Similarity
185,Class A orphans,orphan,20.0,Identify
186,Class A orphans,orphan,37.0,Similarity
187,Class A orphans,orphan,19.0,Identify
188,Class A orphans,orphan,37.0,Similarity
189,Class A orphans,orphan,18.0,Identify
190,Class A orphans,orphan,37.0,Similarity
191,Class A orphans,orphan,17.0,Identify
192,Class A orphans,orphan,36.0,Similarity
193,Class A orphans,orphan,23.0,Identify
194,Class A orphans,orphan,36.0,Similarity
195,Class A orphans,orphan,19.0,Identify
196,Class A orphans,orphan,36.0,Similarity
197,Class A orphans,orphan,19.0,Identify
198,Class A orphans,orphan,36.0,Similarity
199,Class A orphans,orphan,18.0,Identify
200,Class A orphans,orphan,36.0,Similarity
201,Class A orphans,orphan,17.0,Identify
202,Class A orphans,orphan,36.0,Similarity
203,Class A orphans,orphan,15.0,Identify
204,Class A orphans,orphan,35.0,Similarity
205,Class A orphans,orphan,22.0,Identify
206,Class A orphans,orphan,35.0,Similarity
207,Class A orphans,orphan,21.0,Identify
208,Class A orphans,orphan,35.0,Similarity
209,Class A orphans,orphan,20.0,Identify
210,Class A orphans,orphan,35.0,Similarity
211,Class A orphans,orphan,19.0,Identify
212,Class A orphans,orphan,35.0,Similarity
213,Class A orphans,orphan,19.0,Identify
214,Class A orphans,orphan,35.0,Similarity
215,Class A orphans,orphan,18.0,Identify
216,Class A orphans,orphan,35.0,Similarity
217,Class A orphans,orphan,17.0,Identify
218,Class A orphans,orphan,35.0,Similarity
219,Class A orphans,orphan,16.0,Identify
220,Class A orphans,orphan,34.0,Similarity
221,Class A orphans,orphan,18.0,Identify
222,Class A orphans,orphan,34.0,Similarity
223,Class A orphans,orphan,17.0,Identify
224,Class A orphans,orphan,34.0,Similarity
225,Class A orphans,orphan,14.0,Identify
226,Class A orphans,orphan,34.0,Similarity
227,Class A orphans,orphan,14.0,Identify
228,Class A orphans,orphan,34.0,Similarity
229,Class A orphans,orphan,13.0,Identify
230,Class A orphans,orphan,33.0,Similarity
231,Class A orphans,orphan,22.0,Identify
232,Class A orphans,orphan,33.0,Similarity
233,Class A orphans,orphan,21.0,Identify
234,Class A orphans,orphan,33.0,Similarity
235,Class A orphans,orphan,20.0,Identify
236,Class A orphans,orphan,33.0,Similarity
237,Class A orphans,orphan,19.0,Identify
238,Class A orphans,orphan,33.0,Similarity
239,Class A orphans,orphan,19.0,Identify
240,Class A orphans,orphan,33.0,Similarity
241,Class A orphans,orphan,18.0,Identify
242,Class A orphans,orphan,33.0,Similarity
243,Class A orphans,orphan,18.0,Identify
244,Class A orphans,orphan,33.0,Similarity
245,Class A orphans,orphan,18.0,Identify
246,Class A orphans,orphan,33.0,Similarity
247,Class A orphans,orphan,15.0,Identify
248,Class A orphans,orphan,32.0,Similarity
249,Class A orphans,orphan,23.0,Identify
250,Class A orphans,orphan,32.0,Similarity
251,Class A orphans,orphan,20.0,Identify
252,Class A orphans,orphan,32.0,Similarity
253,Class A orphans,orphan,18.0,Identify
254,Class A orphans,orphan,32.0,Similarity
255,Class A orphans,orphan,17.0,Identify
256,Class A orphans,orphan,32.0,Similarity
257,Class A orphans,orphan,17.0,Identify
258,Class A orphans,orphan,32.0,Similarity
259,Class A orphans,orphan,17.0,Identify
260,Class A orphans,orphan,32.0,Similarity
261,Class A orphans,orphan,17.0,Identify
262,Class A orphans,orphan,32.0,Similarity
263,Class A orphans,orphan,16.0,Identify
264,Class A orphans,orphan,32.0,Similarity
265,Class A orphans,orphan,16.0,Identify
266,Class A orphans,orphan,32.0,Similarity
267,Class A orphans,orphan,16.0,Identify
268,Class A orphans,orphan,32.0,Similarity
269,Class A orphans,orphan,15.0,Identify
270,Class A orphans,orphan,32.0,Similarity
271,Class A orphans,orphan,14.0,Identify
272,Class A orphans,orphan,32.0,Similarity
273,Class A orphans,orphan,14.0,Identify
274,Class A orphans,orphan,32.0,Similarity
275,Class A orphans,orphan,14.0,Identify
276,Class A orphans,orphan,32.0,Similarity
277,Class A orphans,orphan,14.0,Identify
278,Class A orphans,orphan,32.0,Similarity
279,Class A orphans,orphan,14.0,Identify
280,Class A orphans,orphan,31.0,Similarity
281,Class A orphans,orphan,18.0,Identify
282,Class A orphans,orphan,31.0,Similarity
283,Class A orphans,orphan,18.0,Identify
284,Class A orphans,orphan,31.0,Similarity
285,Class A orphans,orphan,16.0,Identify
286,Class A orphans,orphan,31.0,Similarity
287,Class A orphans,orphan,15.0,Identify
288,Class A orphans,orphan,31.0,Similarity
289,Class A orphans,orphan,14.0,Identify
290,Class A orphans,orphan,31.0,Similarity
291,Class A orphans,orphan,13.0,Identify
292,Class A orphans,orphan,30.0,Similarity
293,Class A orphans,orphan,19.0,Identify
294,Class A orphans,orphan,30.0,Similarity
295,Class A orphans,orphan,18.0,Identify
296,Class A orphans,orphan,30.0,Similarity
297,Class A orphans,orphan,17.0,Identify
298,Class A orphans,orphan,29.0,Similarity
299,Class A orphans,orphan,17.0,Identify
300,Class A orphans,orphan,29.0,Similarity
301,Class A orphans,orphan,15.0,Identify
302,Class A orphans,orphan,28.0,Similarity
303,Class A orphans,orphan,16.0,Identify
304,Class A orphans,orphan,28.0,Similarity
305,Class A orphans,orphan,15.0,Identify
306,Class A orphans,orphan,28.0,Similarity
307,Class A orphans,orphan,14.0,Identify
308,Class A orphans,orphan,28.0,Similarity
309,Class A orphans,orphan,12.0,Identify
310,Class A orphans,orphan,27.0,Similarity
311,Class A orphans,orphan,12.0,Identify
312,Class A orphans,orphan,26.0,Similarity
313,Class A orphans,orphan,15.0,Identify
314,Class A orphans,orphan,25.0,Similarity
315,Class A orphans,orphan,12.0,Identify
316,Class A orphans,orphan,24.0,Similarity
317,Class A orphans,orphan,12.0,Identify
318,Class A orphans,orphan,53.0,Similarity
319,Class A orphans,orphan,38.0,Identify
320,Class A orphans,orphan,52.0,Similarity
321,Class A orphans,orphan,32.0,Identify
322,Class A orphans,orphan,51.0,Similarity
323,Class A orphans,orphan,28.0,Identify
324,Class A orphans,orphan,51.0,Similarity
325,Class A orphans,orphan,28.0,Identify
326,Class A orphans,orphan,50.0,Similarity
327,Class A orphans,orphan,30.0,Identify
328,Class A orphans,orphan,49.0,Similarity
329,Class A orphans,orphan,30.0,Identify
330,Class A orphans,orphan,49.0,Similarity
331,Class A orphans,orphan,28.0,Identify
332,Class A orphans,orphan,49.0,Similarity
